Symbol,Company Name,Company Code,Subsector Code
BRWM,BLACKROCK WORLD MINING TRUST PLC,BLBRWM,30204000
BGFD,BAILLIE GIFFORD JAPAN TRUST PLC,BABZS,30204000
HMSO,HAMMERSON PLC,HAHPY,35102045
SXS,SPECTRIS PLC,SPSXS,50202010
GPE,GREAT PORTLAND ESTATES PLC,GRIO,35102030
CHG,CHEMRING GROUP PLC,CHKC,50201020
CLDN,CALEDONIA INVESTMENTS PLC,CAENA,30204000
WWH,WORLDWIDE HEALTHCARE TRUST PLC,WOWWH,30204000
SMWH,WH SMITH PLC,WSMWH,40401030
SCT,SOFTCAT PLC,SOSCT,10101010
MSLH,MARSHALLS PLC,MARJE,50101035
MNKS,MONKS INVESTMENT TRUST PLC,MOFF,30204000
CRST,CREST NICHOLSON HOLDINGS PLC,CRCRST,40202010
LMP,LONDONMETRIC PROPERTY PLC,LOLSP,35102000
ASHM,ASHMORE GROUP PLC,ASASHM,30202010
ITH,ITHACA ENERGY PLC,ITHEPL,60101015
MUT,MURRAY INCOME TRUST PLC,MUSA,30204000
QLT,QUILTER PLC,QUQLTR,30202010
TIFS,TI FLUID SYSTEMS PLC,TIFS,40101025
SUPR,SUPERMARKET INCOME REIT PLC,SUSUPR,35102045
ASCL,ASCENTIAL PLC,ASASCL,10101020
MRC,MERCANTILE INVESTMENT TRUST (THE) PLC,MEMRC,30204000
MAB,MITCHELLS & BUTLERS PLC,MIMAB,40501040
BYIT,BYTES TECHNOLOGY GROUP PLC,BYTSBY,10101015
N91,NINETY ONE PLC,NINN91,30202010
BRSC,BLACKROCK SMALLER CO TRUST PLC,BLBRSC,30204000
ROR,ROTORK PLC,ROKP,50202020
MGAM,MORGAN ADVANCED MATERIALS PLC,MOADMA,50202010
MOON,MOONPIG GROUP PLC,MPGPLC,40401030
KLR,KELLER GROUP PLC,KEEKM,50101015
BOY,BODYCOTE PLC,BOCC,50204000
BBY,BALFOUR BEATTY PLC,BABBY,50101010
EWI,EDINBURGH WORLDWIDE INVESTMENT TRUST PLC,EDEWI,30204000
CCC,COMPUTACENTER PLC,COCCC,10101010
THRG,BLACKROCK THROGMORTON TRUST PLC,BRTHUI,30204000
LRE,LANCASHIRE HOLDINGS LIMITED,LALRE,30302025
EDIN,EDINBURGH INVESTMENT TRUST PLC,EDIQ,30204000
EBOX,TRITAX EUROBOX PLC,EBOXTR,35101010
BOWL,HOLLYWOOD BOWL GROUP PLC,HOBOWL,40501030
VCT,VICTREX PLC,VIVCT,55201020
FGT,FINSBURY GROWTH & INCOME TRUST PLC,FILN,30204000
PETS,PETS AT HOME GROUP PLC,PEPETS,40401030
SYNC,SYNCONA LIMITED,SYSYNC,30204000
BWY,BELLWAY PLC,BEHL,40202010
VOF,VINACAPITAL VIETNAM OPPORTUNITY FUND LD,VOFVI,30204000
SRP,SERCO GROUP PLC,SEPD,50205020
VTY,VISTRY GROUP PLC,BOBVS,40202010
TATE,TATE & LYLE PLC,TANI,45102020
RHIM,RHI MAGNESITA N.V.,RHIMA,55201020
PAG,PARAGON BANKING GROUP PLC,PAPAG,30201020
NBPE,NB PRIVATE EQUITY PARTNERS LIMITED,NBNBPE,30204000
JFJ,JPMORGAN JAPANESE INVESTMENT TRUST PLC,JPJFJ,30204000
JDW,WETHERSPOON ( J.D.) PLC,WEOH,40501040
