Symbol,AnnualDividendsPerShare,DividendYield,PayoutRatio,RetentionRatio,DividendCount,Sector_1,Sector_2,Sector_3,Sector_4,Sector_5,Sector_6,Sector_7,Sector_8,Sector_9,Sector_10,Sector_11,Sector_12
CG,1.4,3.42,70.53,0.29469999999999996,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CGABL,1.1563,5.76,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CGBD,1.76,11.36,11.47,0.8853,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CGNX,0.3,0.72,46.09,0.5390999999999999,4.0,0,0,0,0,0,0,1,0,0,0,0,0
CGO,0.96,10.46,18.302007434944237,0.8169799256505577,12.0,0,0,0,0,1,0,0,0,0,0,0,0
CHCO,2.86,2.56,14.29,0.8571,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CHI,1.14,11.01,18.302007434944237,0.8169799256505577,12.0,0,0,0,0,1,0,0,0,0,0,0,0
CHK,2.3,2.97,2.1,0.979,4.0,0,0,0,1,0,0,0,0,0,0,0,0
CHRD,5.44,3.25,6.63,0.9337,4.0,0,0,0,1,0,0,0,0,0,0,0,0
CHSCL,1.875,7.39,27.281764705882352,0.7271823529411765,4.0,0,0,0,0,0,0,1,0,0,0,0,0
CHSCM,1.6875,6.81,27.281764705882352,0.7271823529411765,4.0,0,0,0,0,0,0,1,0,0,0,0,0
CHSCN,1.775,7.09,27.281764705882352,0.7271823529411765,4.0,0,0,0,0,0,0,1,0,0,0,0,0
CHSCO,1.9688,7.64,27.281764705882352,0.7271823529411765,4.0,0,0,0,0,0,0,1,0,0,0,0,0
CHSCP,2.0,6.54,27.281764705882352,0.7271823529411765,4.0,0,0,0,0,0,0,1,0,0,0,0,0
CHW,0.6,10.31,18.302007434944237,0.8169799256505577,12.0,0,0,0,0,1,0,0,0,0,0,0,0
CHX,0.34,1.12,20.05,0.7995,4.0,0,0,0,0,0,0,1,0,0,0,0,0
CHY,1.2,10.46,18.302007434944237,0.8169799256505577,12.0,0,0,0,0,1,0,0,0,0,0,0,0
CIVB,0.64,3.46,6.39,0.9361,4.0,0,0,0,0,1,0,0,0,0,0,0,0
CLAR,0.1,1.55,49.75244680851063,0.5024755319148937,4.0,0,1,0,0,0,0,0,0,0,0,0,0
CLMB,0.68,1.18,21.9,0.781,4.0,0,0,0,0,0,0,0,0,0,1,0,0
CMCO,0.28,0.72,22.01,0.7799,4.0,0,0,0,0,0,0,1,0,0,0,0,0
