Symbol,Company Name,Company Code
PETS,PETS AT HOME GROUP PLC,PEPETS
SYNC,SYNCONA LIMITED,SYSYNC
BWY,BELLWAY PLC,BEHL
VOF,VINACAPITAL VIETNAM OPPORTUNITY FUND LD,VOFVI
SRP,SERCO GROUP PLC,SEPD
VTY,VISTRY GROUP PLC,BOBVS
TATE,TATE & LYLE PLC,TANI
RHIM,RHI MAGNESITA N.V.,RHIMA
PAG,PARAGON BANKING GROUP PLC,PAPAG
NBPE,NB PRIVATE EQUITY PARTNERS LIMITED,NBNBPE
JFJ,JPMORGAN JAPANESE INVESTMENT TRUST PLC,JPJFJ
JDW,WETHERSPOON ( J.D.) PLC,WEOH
STEM,STHREE PLC,STSTHR
HGT,HG CAPITAL TRUST PLC,HGHGT
BPT,BRIDGEPOINT GROUP PLC,BRIDPO
VMUK,VIRGIN MONEY UK PLC,CYBGCL
HL.,HARGREAVES LANSDOWN PLC,HAHL.
INCH,INCHCAPE PLC,INARX
FDM,FDM GROUP (HOLDINGS) PLC,FDFDM
MGNS,MORGAN SINDALL GROUP PLC,MOMGNS
INVP,INVESTEC PLC,ININVP
ATG,AUCTION TECHNOLOGY GROUP PLC,AUCTGP
MONY,MONEYSUPERMARKET.COM GROUP PLC,MOMONY
VEIL,VIETNAM ENTERPRISE INVESTMENTS LIMITED,VEILVE
DOCS,DR. MARTENS PLC,DRMART
HILS,HILL & SMITH PLC,HIHO
DOM,DOMINO'S PIZZA GROUP PLC,DODOM
WG.,WOOD GROUP (JOHN) PLC,WOWG
MEGP,ME GROUP INTERNATIONAL PLC,PHUA
DEC,DIVERSIFIED ENERGY COMPANY PLC,DIDGOC
AJB,AJ BELL PLC,AJAJBE
TUI,TUI AG,TUIJAG
KNOS,KAINOS GROUP PLC,KAKNOS
COA,COATS GROUP PLC,COCOA
BREE,BREEDON GROUP PLC,BRBREE
ELM,ELEMENTIS PLC,ELELM
GNS,GENUS PLC,GEGNS
TLW,TULLOW OIL PLC,TUHV
DRX,DRAX GROUP PLC,DRDRX
CCL,CARNIVAL PLC,CACCL
RDW,REDROW PLC,REEQS
IDS,INTERNATIONAL DISTRIBUTIONS SERVICES PLC,RORMG
ENOG,ENERGEAN PLC,ENENOG
PNN,PENNON GROUP PLC,PEPNN
TPK,TRAVIS PERKINS PLC,TRIA
GRG,GREGGS PLC,GRMT
RSW,RENISHAW PLC,REMN
FXPO,FERREXPO PLC,FEFXPO
PLUS,PLUS500 LTD,PLUSIL
CURY,CURRYS PLC,DIXDC
EZJ,EASYJET PLC,EAEZJ
QQ.,QINETIQ GROUP PLC,QIQQ.
FOUR,4IMPRINT GROUP PLC,IMFOU
PZC,PZ CUSSONS PLC,PZPZC
IBST,IBSTOCK PLC,IBI
INDV,INDIVIOR PLC,ININDV
CBG,CLOSE BROTHERS GROUP PLC,CLQH
WOSG,WATCHES OF SWITZERLAND GROUP PLC,WAWOSG
FUTR,FUTURE PLC,FUFUTR
HBR,HARBOUR ENERGY PLC,PRCI
PTEC,PLAYTECH PLC,PLPTEC
PPH,PPHE HOTEL GROUP LIMITED,PAPPH
JLEN,JLEN ENVIRONMENTAL ASSETS GROUP LIMITED,JLJLEN
ICGT,ICG ENTERPRISE TRUST PLC,ICGTIC
FEML,FIDELITY EMERGING MARKETS LIMITED,GEIL
APAX,APAX GLOBAL ALPHA LIMITED,APAPAX
